Crab ID,Crab #,Capture Date,Week,StartDateLocation_ForCaptureTrap,Trap Type,Sex,Size (mm),Trap Area (Field Trap Loc/Number),Trap Number,TrapIDJoin,Trap Coordinates X,Trap Coordinates Y,Eggs,Missing Limb Locations,"Approximate Ventral Color (LG,DG,RO)",Molt Stage (Pre/Post/Inter),Disposition,Indiv. Pictures? (Y/N),GPS Record? (Y/N),Recorder,Notes
EGC_2019.39,39,5/21/2019,7,5/20/2019,Fukui,Male,82,Channel,9,Fukui-9_5/20/2019,-123.1367717,48.17390167,-,"1/2 of R1, L2,L4",Red-orange,,Frozen,,Yes,Doug Marcoux,
EGC_2019.40,40,5/21/2019,7,5/20/2019,Fukui,Female,53,Channel,9,Fukui-9_5/20/2019,-123.1367717,48.17390167,No,None,Light Green,,Frozen,,Yes,Doug Marcoux,
EGC_2019.42,42,6/4/2019,9,6/3/2019,Fukui,Male,65,Channel,18,Fukui-18_6/3/2019,-123.1384281,48.17507313,-,None,Light Green,,Frozen,,Yes,David Xu,
EGC_2019.43,43,6/5/2019,9,6/3/2019,Fukui,Male,37,Base Lagoon,101,Fukui-101_6/3/2019,-123.1835316,48.14648283,-,None,Light Green,,Kept alive for genetic testing; on 6/5 gave to WDFW to give to WSG,,Yes,Juliana Merluccio,
EGC_2019.44,44,6/6/2019,9,6/3/2019,Fukui,Male,87,Channel,7,Fukui-7_6/3/2019,-123.1364833,48.173705,-,"R4, L3, L5",Red-orange,,Frozen,,Yes,Sue Bonomo,
EGC_2019.45,45,6/20/2019,11,6/17/2019,Fukui,Male,84,Channel,18,Fukui-18_6/17/2019,-123.1384281,48.17507313,-,None,Red-orange,,Frozen,,Yes,Sue Bonomo,
EGC_2019.47,47,6/21/2019,11,6/17/2019,Fukui,Female,52,Channel,13,Fukui-13_6/17/2019,-123.1375483,48.17451667,No,"R3, R4, L1",Dark Green,,Frozen,,Yes,Laura Davis,
EGC_2019.48,48,7/3/2019,13,7/1/2019,Fukui,Male,78,Channel,20,Fukui-20_7/1/2019,-123.1386551,48.17473207,-,"R5, L5",Red-orange,,Frozen,,Yes,Juliana Merluccio,
EGC_2019.49,49,7/19/2019,15,7/15/2019,Fukui,Male,75,Channel,20,Fukui-20_7/15/2019,-123.1386551,48.17473207,-,R2,Red-orange,,Frozen,,Yes,Laura Davis,
EGC_2019.51,51,7/31/2019,17,7/29/2019,Fukui,Male,83,Channel,3,Fukui-3_7/29/2019,-123.137335,48.17374,-,L1,Red-orange,,Frozen,,Yes,Laura Davis,"R3 was recently regenerated (very small and thin compared to other limbs), barnacle on carapace"
EGC_2019.52,52,8/13/2019,19,8/12/2019,Fukui,Male,68,Channel,10,Fukui-10_8/12/2019,-123.1370533,48.17391667,-,None,Dark Green,,Frozen,,Yes,Laura Davis,
EGC_2019.53,53,8/13/2019,19,8/12/2019,Fukui,Male,75,Channel,9,Fukui-9_8/12/2019,-123.1367717,48.17390167,-,"R5, L1,L2",Red-orange,,Frozen,,Yes,Laura Davis,
EGC_2019.54,54,8/13/2019,19,8/12/2019,Fukui,Male,81,Channel,9,Fukui-9_8/12/2019,-123.1367717,48.17390167,-,L3,Red-orange,,Frozen,,Yes,Laura Davis,
EGC_2019.55,55,8/13/2019,19,8/12/2019,Fukui,Male,73,Channel,9,Fukui-9_8/12/2019,-123.1367717,48.17390167,-,None,Red-orange,,Frozen,,Yes,Laura Davis,
EGC_2019.56,56,8/13/2019,19,8/12/2019,Fukui,Male,67,Channel,9,Fukui-9_8/12/2019,-123.1367717,48.17390167,-,None,Red-orange,,Frozen,,Yes,Laura Davis,
EGC_2019.57,57,9/12/2019,23,9/9/2019,Fukui,Male,41,Channel,8,Fukui-8_9/9/2019,-123.1363267,48.17374833,,None,Light Green,,Given to WSG,Yes,Yes,Juliana Merluccio,No picture of abdomen--but light green. Confirmed by WSG as a recently molted. Determined to be YOY from WSG dissection. 
